Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_006713191.1,4670.6,7427.6,5762.9,5949.0,7327.9,6460.7,6683.9,7387.4,7063.7,5903.6,6694.5,7585.8,8623.083333333332,9703.941666666668,8058.583333333333,6601.958333333333,6230.849999999999,5403.108333333333,7162.716666666668,6245.658333333334,5736.825,6264.833333333333,5308.5,6264.833333333333,6963.3,8420.9,10650.6,7665.1,8949.4,10260.7,5947.2,7156.1,9434.7,6343.6,7364.8,8981.0,4973.5,7139.4,10543.9,bla161
NP_002930.2,3679.3,4421.2,3975.9,5162.6,5812.1,5863.2,5367.1,5770.2,6099.4,5074.8,5827.6,5724.8,6718.666666666667,5725.849999999999,5651.266666666666,5725.849999999999,5178.075000000001,5031.183333333333,5561.858333333334,5054.516666666667,4912.391666666667,5204.216666666666,4677.858333333333,4873.250000000001,5764.4,6067.0,6749.0,6611.1,7259.7,6161.8,4840.6,5142.4,5568.7,5699.2,5889.0,5698.0,4485.4,4512.1,5383.8,bla162
NP_056474.2,2194.7,8295.6,7302.0,3284.8,11887.9,12721.5,3398.7,11251.3,13212.1,3474.8,13244.1,12054.1,3692.133333333333,10666.766666666666,10228.083333333334,3526.2500000000005,10563.95,10530.591666666667,3487.0833333333335,9881.658333333333,10606.716666666667,3590.5083333333337,10295.008333333333,10530.591666666667,3186.1,11827.4,12896.8,3733.8,14174.6,14618.9,2404.8,8654.5,8849.3,2330.8,8991.5,8647.5,1838.0,6366.5,7409.8,bla163
NP_001741.4,3984.6,1971.5,3149.7,8121.6,4028.2,8218.3,8950.6,3951.7,8941.0,9303.3,9476.4,4092.8,7403.0,2570.475,4543.158333333334,9099.058333333332,3590.5083333333337,7026.483333333334,9524.675000000001,3516.433333333334,7250.825,9847.15,7601.466666666666,3580.083333333334,5844.3,5264.6,2802.1,7091.6,6023.6,3400.7,5781.5,5664.9,2943.5,6178.2,5727.2,2888.3,4254.2,3708.5,2458.9,bla164
NP_001245238.1,2190.1,3974.1,2889.3,3695.3,5342.0,4453.0,3810.0,5353.0,4395.2,4045.1,4747.5,5778.0,3676.241666666667,5204.216666666666,4132.466666666666,3938.716666666667,4686.883333333332,3782.4916666666663,3930.9166666666665,4708.341666666666,3580.083333333334,4141.466666666666,3812.9249999999997,4958.941666666667,3151.0,3904.6,5250.3,3084.2,4023.1,4197.6,2613.0,3159.1,4285.8,2557.6,3095.2,3668.4,1976.9,2562.4,3446.8,bla165
NP_001351766.1,2331.2,4819.0,4208.2,2635.9,5372.6,5108.7,2937.7,5736.3,5459.3,2695.8,5128.8,5263.7,3945.058333333333,6212.658333333334,5973.533333333333,2764.5416666666674,4708.341666666666,4391.599999999999,3022.2916666666665,4977.825,4501.400000000001,2711.0916666666667,4194.116666666668,4525.458333333333,3408.8,6675.0,7347.3,3571.2,7033.1,6766.7,2515.3,4694.9,5558.5,2328.4,4902.3,5469.1,1970.0,3914.6,4794.5,bla166
NP_005013.1,826.0,7241.1,2779.0,1196.5,12031.3,4607.6,1226.0,11047.9,4648.1,1232.0,4473.8,10266.7,1269.1333333333334,9374.466666666665,3938.716666666667,1213.6416666666667,10704.108333333334,3913.975,1184.0833333333333,9794.591666666669,3820.283333333333,1198.925,3617.1583333333333,8660.591666666667,1268.4,4574.1,13340.8,1122.0,3927.3,9920.7,1146.8,4385.4,12277.2,1090.4,3881.8,10393.7,705.1,2579.0,6970.1,bla167
XP_024307259.1,925.6,0.0,933.9,1606.5,0.0,1666.2,1802.9,0.0,1843.6,1667.9,1737.4,0.0,1451.3333333333333,0.0,1315.7250000000001,1615.466666666667,0.0,1516.1666666666663,1764.8,0.0,1613.9000000000003,1603.8833333333332,1521.7416666666666,0.0,1470.0,1563.8,,2112.4,2374.5,,1258.2,1330.3,,1440.0,1492.0,,993.0,1098.2,,bla168
XP_005257400.1,809.9,3066.6,3681.2,877.5,4537.1,5799.1,980.4,4513.5,5929.7,1131.6,6800.6,5170.5,1245.1416666666664,4007.4833333333336,5308.5,887.4,4028.0333333333333,4994.141666666667,950.9666666666667,3930.9166666666665,4802.166666666666,1076.8416666666665,5403.108333333333,4416.408333333334,982.8,4858.8,4364.9,1095.9,6029.1,4483.2,721.1,3738.9,3393.1,883.5,4810.7,3662.7,474.2,2048.0,2064.4,bla169
NP_000995.1,1511.7,3991.7,2637.2,2577.3,6462.5,4420.0,3121.1,6885.6,4622.4,2898.3,4899.2,7328.7,2429.9333333333334,5232.466666666666,3743.0,2707.1250000000005,5651.266666666666,3751.9916666666672,3197.983333333333,5835.424999999999,3806.4166666666674,2931.3416666666667,3930.9166666666665,6046.808333333333,1924.4,3532.3,5325.7,1586.3,2466.0,3200.0,2023.9,3609.5,6025.4,1836.9,2801.9,4311.4,1204.6,2242.5,3740.6,bla170
NP_005868.1,3575.6,2188.6,2807.7,5741.3,3218.1,4363.3,5763.4,3198.3,4415.1,5292.5,4629.7,3601.0,6601.958333333333,2828.466666666667,3995.808333333334,6399.7249999999985,2871.491666666667,3682.591666666666,6212.658333333334,2842.6166666666663,3604.150000000001,5403.108333333333,3703.6,3130.3583333333336,5161.3,4012.2,2900.9,6572.6,4836.0,2580.9,3899.5,3196.7,2596.7,4438.9,3475.5,2343.2,3343.5,2736.8,2063.8,bla171
NP_009123.1,3201.9,3159.0,3247.5,4868.7,4415.0,4688.6,4985.2,4389.8,4770.2,4918.4,4748.9,4599.1,6071.425,4160.741666666667,4708.341666666666,5290.466666666666,3951.441666666666,3957.116666666667,5194.116666666667,3799.9583333333335,3898.108333333333,5054.516666666667,3820.283333333333,3977.916666666666,5070.4,5037.3,5070.6,5564.6,5804.3,4141.2,3415.2,3329.6,3724.9,3325.0,3242.8,3207.1,2315.7,2261.7,2660.3,bla172
NP_056991.2,5370.4,3101.2,2496.5,7179.3,3627.3,3129.4,7521.6,3619.2,3142.7,7425.0,3290.0,3635.6,9404.458333333334,4054.966666666667,3487.0833333333335,8212.491666666667,3242.625,2702.016666666667,8212.491666666667,3197.983333333333,2630.3416666666667,7976.433333333333,2723.266666666667,3158.366666666667,8099.7,3577.8,4345.7,7997.9,3428.0,3720.1,7171.8,3152.1,3879.9,8713.5,3735.9,4158.5,8273.6,3652.2,4189.0,bla173
NP_006817.1,1980.7,3224.1,4449.7,2901.0,5116.4,7612.8,2941.4,5187.2,7989.9,2828.5,7360.9,4998.2,3249.5750000000003,4219.575,6230.849999999999,3076.133333333333,4525.458333333333,6601.958333333333,3027.0,4501.400000000001,6509.400000000001,2842.6166666666663,5940.474999999999,4322.608333333333,2758.0,6795.8,4966.3,3654.5,7846.9,4703.1,2279.7,5837.3,4454.4,2247.1,6126.7,4153.4,1738.4,3829.1,2838.6,bla175
NP_001032360.1,4710.8,953.3,787.3,8600.4,1221.8,1303.7,9542.2,1210.7,1330.8,10100.0,1432.3,1294.4,8736.658333333335,1224.8416666666665,1090.2833333333335,9576.608333333335,1129.8916666666667,1152.8750000000002,10070.858333333334,1114.8,1134.1916666666666,10479.708333333334,1212.2916666666665,1156.45,7705.5,1110.4,1287.8,8864.5,1446.3,1058.4,6231.1,890.1,1088.0,5801.6,895.3,876.6,4141.2,622.0,864.7,bla176
NP_005436.1,2337.0,4187.9,4783.3,3823.0,5616.1,7894.0,3848.2,5761.4,8309.2,3941.9,8410.5,5935.0,3957.116666666667,5467.416666666667,6855.3,4044.6499999999996,5005.241666666667,6783.183333333333,3951.441666666666,5031.183333333333,6783.183333333333,4069.5000000000005,6768.733333333333,5102.041666666666,3288.2,7029.1,5861.8,3450.6,8619.8,5546.9,2517.1,5428.9,4707.0,2474.0,5653.8,4180.8,1794.6,4132.5,3717.9,bla177
XP_016868908.1,882.8,804.4,2583.6,1462.0,925.1,4292.4,1623.2,953.7,4771.1,1661.2,4729.1,1036.4,1357.5249999999999,1038.0833333333333,3635.35,1483.2249999999997,885.7666666666665,3621.6083333333336,1576.7083333333333,888.5749999999999,3905.5,1592.6833333333334,3799.9583333333335,950.9666666666667,1329.7,3823.6,1056.6,1332.4,4560.2,841.4,1429.9,3759.7,1100.7,1486.8,4519.1,1056.3,1146.3,3046.0,1222.3,bla178
XP_011539528.1,4358.1,5854.5,2633.1,5130.1,8152.2,3035.1,5562.0,8557.2,3373.6,5227.7,3189.5,7556.1,7976.433333333333,7387.150000000001,3735.8000000000006,5664.141666666666,7026.483333333334,2639.2083333333335,5940.474999999999,7162.716666666668,2773.0416666666665,5335.083333333333,2630.3416666666667,6230.849999999999,6253.2,3857.4,9543.6,8015.8,4289.2,9581.1,5412.4,3077.9,8713.7,5038.1,2828.7,7155.9,3571.5,1995.0,4766.6,bla179
NP_000810.1,6107.5,2283.8,1950.8,6297.9,2863.3,2466.0,7084.5,3117.2,2751.2,6396.4,2383.4,2851.9,10563.95,2924.5166666666664,2788.5416666666665,7080.966666666666,2535.2916666666665,2156.266666666667,7660.391666666667,2764.5416666666674,2332.8750000000005,6783.183333333333,2002.6999999999998,2492.6833333333334,9581.2,3469.3,3739.4,10005.1,3780.8,4168.9,7009.7,2396.9,2600.9,7006.5,2684.5,2891.8,5917.3,1770.1,2158.5,bla180
NP_002127.1,4413.3,6460.1,5894.9,7391.3,9956.0,10023.8,7657.3,10081.8,9727.7,7753.2,10029.9,10342.0,8058.583333333333,8018.825,8294.658333333333,8354.366666666667,8623.083333333332,8411.199999999999,8294.658333333333,8826.491666666667,7771.449999999998,8354.366666666667,8092.3499999999985,8793.475,6678.8,9022.1,9654.3,8984.2,13898.4,12229.3,5212.0,6735.1,7086.7,5141.7,6528.8,6616.2,3540.3,4768.3,5624.4,bla181
XP_011508517.1,954.3,3159.3,1043.8,1999.1,5097.6,1933.8,2306.1,4907.3,2140.6,2616.1,2414.0,5207.5,1505.3916666666667,4165.733333333333,1513.3749999999998,2061.116666666667,4501.400000000001,1725.783333333333,2295.516666666667,4261.658333333334,1829.0666666666668,2639.2083333333335,2036.4499999999998,4474.533333333334,1548.3,1468.2,4177.0,1640.4,1726.1,4561.6,1256.2,1171.2,3447.9,1143.7,1195.9,3603.2,786.2,870.0,2911.5,bla182
NP_005222.2,11773.3,2172.9,6687.6,22628.7,3593.3,11819.5,22526.2,3635.9,12536.5,22767.6,12262.6,3762.3,23418.333333333332,2802.258333333333,9341.216666666665,26851.024999999998,3219.283333333334,9881.658333333333,25596.58333333334,3235.8416666666667,9847.15,25046.8,9644.241666666667,3260.141666666668,18085.7,9717.7,3230.8,18879.5,11035.8,3883.8,17578.4,9379.6,2866.7,19689.1,10533.9,3030.1,13787.2,7448.6,2223.2,bla183
NP_000997.1,8690.0,15065.3,10795.1,13231.6,18262.8,16490.2,16366.2,19247.3,17761.7,14884.7,18148.2,19382.8,15547.508333333333,20119.583333333336,15049.575000000003,14126.375,16483.8,14013.991666666669,17932.100000000002,16604.791666666668,13907.574999999999,15547.508333333333,14259.866666666667,16483.8,12282.8,15207.4,20663.4,17108.8,19367.8,19238.3,10592.3,13283.6,18198.6,11835.8,13683.2,17007.2,8233.7,11073.4,16383.8,bla184
NP_001351609.1,3300.6,2802.5,4311.0,7018.7,4835.0,8480.1,6762.8,6077.3,8118.4,6930.9,8019.4,4858.8,6230.849999999999,3629.0166666666664,6140.841666666666,7908.758333333335,4304.974999999999,7299.45,7216.599999999999,5308.5,6601.958333333333,7319.216666666667,6493.966666666667,4183.225000000001,4561.8,5892.7,3712.0,6142.8,8125.0,5422.7,4237.0,5520.4,4201.7,4192.8,5335.0,3909.4,2419.1,3693.4,2634.2,bla185
NP_036611.2,10813.3,3448.2,8418.9,17895.6,5335.4,15677.0,18770.9,5738.8,17794.4,18497.0,15857.1,5486.6,19830.69166666667,4525.458333333333,11822.175000000001,20513.425,4677.858333333333,13193.95833333333,19830.69166666667,5018.5666666666675,14013.991666666669,20513.425,12643.224999999999,4697.925,15285.9,13319.2,4877.9,17350.4,16374.5,5648.9,14170.6,11926.9,4312.3,15188.0,13860.6,4688.7,11000.8,8777.1,3842.8,bla186
XP_011525954.1,5111.9,6841.8,8966.4,9451.1,10359.7,17501.7,10004.1,9742.8,18770.2,10506.5,18924.6,10062.5,9259.866666666667,8595.358333333335,12643.224999999999,10530.591666666667,9195.65,14562.625,10704.108333333334,8448.358333333332,14562.625,11111.875,14792.933333333332,8501.258333333333,8433.5,15104.4,9971.6,11407.7,16719.3,10817.3,7240.2,13289.5,8582.9,7780.8,14272.7,8880.1,5185.9,8902.9,7584.6,bla187
NP_001395.1,3894.3,8679.0,8565.8,5073.3,10493.0,12583.0,5239.4,10797.6,13117.8,5118.4,12330.3,10752.7,7190.691666666666,11216.150000000001,12013.358333333335,5609.45,9374.466666666665,10479.708333333334,5506.025000000001,9341.216666666665,10563.95,5258.191666666667,9703.941666666668,9099.058333333332,5848.9,13803.4,12734.2,7080.7,14989.8,14393.7,4605.0,10625.7,10224.8,4959.0,11533.0,9960.9,4025.5,8098.3,9212.5,bla188
NP_001032897.1,8782.3,4163.3,6235.9,14603.3,5933.9,11543.9,16297.6,5895.2,12906.3,16413.3,12758.0,6284.0,15977.533333333335,5427.374999999999,8736.658333333335,15860.183333333332,5290.466666666666,9644.241666666667,17749.30833333333,5204.216666666666,10260.258333333333,17281.025,10029.425,5370.108333333333,15654.4,11728.4,6847.6,15745.3,12734.4,6599.4,11789.8,9046.2,5159.0,11383.6,8933.8,4791.6,8175.4,5903.3,4094.2,bla189
NP_006363.4,1255.5,2109.2,1721.7,1884.5,2577.1,3142.1,1872.7,2508.0,3249.2,1979.6,3206.2,2883.2,2036.4499999999998,2702.016666666667,2420.9083333333333,1952.625,2295.516666666667,2718.2083333333335,1842.7666666666667,2213.8833333333337,2693.675,1961.6833333333334,2663.0083333333337,2516.791666666667,1815.7,2624.3,2869.7,1900.4,3702.5,2013.8,1483.8,2005.9,2463.7,1387.3,2212.0,1938.5,1071.4,1447.6,2028.3,bla190
NP_005554.1,6393.8,11823.8,14109.7,13977.7,28257.6,32856.5,13622.2,27589.1,32341.9,13909.6,32008.7,27704.2,11216.150000000001,15228.483333333332,19668.024999999998,15228.483333333332,23418.333333333332,29591.774999999998,14013.991666666669,21928.45,25046.8,14126.375,25046.8,21164.658333333336,9909.3,21089.8,17869.2,12233.6,27956.7,22711.8,7733.6,16981.5,14483.4,5971.1,13654.2,11081.6,3988.4,8310.2,6962.9,bla191
NP_004334.1,3921.8,2540.8,7066.7,7841.4,5677.4,16666.6,9390.4,5464.4,17435.9,8222.4,18053.9,6129.9,7250.825,3289.3500000000004,9918.541666666668,8826.491666666667,5087.791666666666,14126.375,9881.658333333333,4802.166666666666,13717.54166666667,8826.491666666667,14126.375,5258.191666666667,6443.7,11731.6,4072.2,8473.0,12655.3,4817.0,8890.7,14087.8,4215.7,10240.9,15889.6,4952.3,7182.6,9394.0,3205.1,bla192
NP_001095868.1,4577.7,7542.6,6834.9,7030.3,10061.2,10653.1,7087.9,9900.2,10874.5,7415.3,11227.3,10923.4,8332.65,9982.141666666668,9468.175000000001,7976.433333333333,8660.591666666667,8849.966666666667,7678.441666666667,8623.083333333332,8623.083333333332,7941.058333333332,8948.183333333334,9374.466666666665,7020.7,10431.3,11232.1,5959.3,9504.5,8238.4,5857.3,8508.0,9028.4,5342.9,8179.3,7738.9,4403.6,6641.0,7984.8,bla193
NP_001028886.1,701.5,0.0,188.7,1423.7,0.0,407.2,1530.3,0.0,428.5,1664.2,422.7,0.0,1042.5916666666667,0.0,212.8333333333333,1440.7416666666668,0.0,336.78333333333336,1488.7083333333333,0.0,330.8583333333333,1599.0749999999998,327.575,0.0,1074.1,310.5,,1164.2,392.9,,760.0,249.2,,834.8,311.3,,425.7,164.8,,bla194
NP_001407.1,2338.0,6293.2,2585.1,3775.0,7997.0,3711.1,4216.4,8206.6,3822.8,3909.1,3727.0,8599.5,3970.491666666667,7822.541666666668,3656.225000000001,4007.4833333333336,6913.125,3187.691666666666,4304.974999999999,6855.3,3112.991666666667,4044.6499999999996,3067.408333333333,7080.966666666666,3969.0,3896.6,9666.4,3398.3,4362.6,8597.8,3962.6,3359.8,8363.6,3115.3,3253.5,6683.9,2093.8,2422.1,5913.4,bla195
NP_003277.1,3803.5,7510.3,5982.0,6524.5,11323.3,10562.7,7145.3,11342.2,11537.1,7702.3,12089.4,11960.3,6996.433333333333,9918.541666666668,8448.358333333332,7299.45,10122.108333333334,8826.491666666667,7749.583333333333,9982.141666666668,9195.65,8243.966666666667,9468.175000000001,10403.258333333333,5701.2,9150.5,10857.4,5156.6,8293.6,9037.4,5084.9,7897.5,9537.5,4929.2,7606.3,8611.4,3667.4,5605.1,7610.8,bla196
NP_001181883.1,4465.6,5287.7,8579.2,8741.8,7987.1,15783.8,9873.0,8310.7,18519.0,10549.5,19675.7,9247.1,8212.491666666667,6744.333333333333,12119.025000000001,9847.15,6890.841666666667,13387.666666666666,10479.708333333334,6978.675,14443.608333333332,11216.150000000001,15641.550000000001,7729.925000000002,7330.6,14041.9,8209.6,8108.9,14430.9,8431.1,5693.4,11103.9,5775.1,5839.0,11074.5,5646.6,3597.8,6964.7,4807.6,bla197
NP_001307.2,1983.3,2040.6,1983.4,2199.0,2671.8,2320.2,2243.1,2990.4,2332.3,2272.8,2388.6,2385.8,3265.5083333333337,2663.0083333333337,2842.6166666666663,2267.5249999999996,2377.525,2041.6583333333338,2227.0916666666667,2663.0083333333337,1959.7083333333333,2274.2999999999997,2011.5583333333332,2105.0083333333337,2803.6,2863.0,3527.2,2788.0,3130.8,2444.6,1788.1,1837.7,2664.9,1602.0,1809.8,1859.7,1270.3,1402.3,1491.4,bla198
NP_002620.1,5813.9,5462.4,4676.9,9333.3,10222.1,9981.4,9608.4,10226.5,10137.7,10331.3,10962.6,11365.1,10228.083333333334,7026.483333333334,6648.700000000002,10345.425,8986.083333333332,8354.366666666667,10228.083333333334,9051.008333333333,8121.916666666667,10800.566666666668,8660.591666666667,9703.941666666668,8738.8,8180.8,9034.3,9193.6,8962.7,9274.5,7663.9,7151.9,7907.5,7622.0,7186.9,7810.8,6137.8,4455.1,5952.9,bla199
NP_149124.3,3842.5,6958.4,3354.8,5881.9,9516.5,4953.3,6242.2,9670.3,5040.2,5862.8,5190.4,9532.9,7105.266666666666,8698.85,4890.825000000002,6562.691666666667,8212.491666666667,4231.741666666667,6673.525000000001,8212.491666666667,4141.466666666666,6196.483333333334,4261.658333333334,8092.3499999999985,6383.6,5246.3,10876.8,5769.4,5146.7,10510.5,5275.8,4286.7,8985.8,5570.6,4604.3,9168.1,3980.3,3441.0,8266.9,bla200
NP_054733.2,4185.8,2820.7,5424.4,5277.8,2801.3,6656.5,5465.3,3134.9,7844.6,5026.6,7069.5,2791.5,7700.7750000000015,3656.225000000001,7700.7750000000015,5815.691666666667,2492.6833333333334,5609.45,5736.825,2795.0833333333335,6399.7249999999985,5148.5,5609.45,2435.0833333333335,7135.1,9006.9,4502.7,6391.4,8875.9,4050.0,4769.2,6445.2,2987.3,5075.6,6772.4,3016.7,4059.8,4962.8,2848.4,bla201
NP_036205.1,4515.1,9483.6,4007.9,6119.0,11530.0,5725.9,6639.0,11521.6,6022.3,6191.7,5797.8,11463.1,8243.966666666667,12643.224999999999,5725.849999999999,6879.183333333334,10295.008333333333,4912.391666666667,7141.416666666667,10192.508333333333,4890.825000000002,6509.400000000001,4630.25,9881.658333333333,7068.0,6184.4,14103.0,8776.9,7535.8,15567.0,5598.9,4927.0,11051.4,5412.2,4829.2,10673.4,4246.9,3818.3,9767.2,bla202
NP_003698.1,2304.0,8674.4,2839.8,2865.3,11283.6,3459.5,2928.4,11562.1,3674.1,2960.7,3549.3,10961.5,3860.908333333333,11111.875,4063.6583333333333,3027.0,10029.425,2987.35,2999.4249999999997,10260.258333333333,3022.2916666666665,3003.8583333333336,2909.808333333333,9438.833333333334,3150.0,4141.1,12865.2,3040.2,4131.8,9751.9,2411.3,3095.2,10016.9,2303.3,2966.7,9081.7,2143.6,2759.3,8899.4,bla203
NP_005137.1,2944.2,3315.0,2158.7,4266.7,4812.8,3258.8,4871.1,4801.2,3424.2,4821.7,3445.6,4851.5,5335.083333333333,4322.608333333333,3061.5833333333335,4512.516666666666,4278.483333333333,2811.266666666667,4977.825,4212.475,2822.625,4977.825,2842.6166666666663,4172.916666666667,4251.9,2974.5,4541.3,4247.9,3270.7,4700.8,3542.7,2410.9,3835.3,3541.5,2614.3,3850.1,3004.5,2053.9,3362.6,bla204
NP_203754.2,1469.7,797.0,1661.6,1827.4,982.6,2466.2,1954.8,1048.5,2432.7,1776.0,2399.8,924.0,2332.8750000000005,1029.2416666666668,2313.1499999999996,1877.825,937.9666666666667,2161.2583333333337,1930.5916666666662,985.7166666666666,2029.4000000000003,1718.9499999999998,2023.5333333333335,852.2583333333333,2457.5,2886.7,1246.2,2539.3,3173.2,1349.2,1969.2,2021.1,949.9,2584.6,2838.9,1345.4,2376.3,2404.5,1146.6,bla205
NP_001245366.1,3396.7,2434.6,2920.4,4208.2,2747.6,3636.2,4454.8,3003.4,3811.0,4329.0,3843.3,2856.5,6350.483333333334,3136.1583333333333,4183.225000000001,4460.841666666667,2426.2416666666663,3130.3583333333336,4630.25,2667.6583333333338,3100.9666666666667,4416.408333333334,3158.366666666667,2498.991666666667,5235.6,4144.8,3428.9,5671.9,4637.1,3321.9,4458.9,3564.4,3094.6,4904.0,4069.6,3052.8,3721.2,2930.2,2674.4,bla207
NP_006436.3,1665.7,3391.5,2335.9,2005.7,3472.5,3017.8,2185.9,3665.4,3210.9,2084.4,3068.8,3485.6,2676.4416666666666,4391.599999999999,3249.5750000000003,2072.2749999999996,3061.5833333333335,2619.883333333333,2156.266666666667,3260.141666666668,2659.65,2054.2833333333333,2551.425,3047.6749999999997,2521.7,3767.6,5409.0,2373.0,3583.8,4110.7,1665.9,2588.0,4115.0,1810.8,2663.7,3571.2,1511.4,2273.1,3460.7,bla208
NP_004896.1,1510.8,7657.7,7534.4,2003.7,11880.3,12322.1,1894.8,11699.6,12988.9,2032.6,13027.1,11552.2,2426.2416666666663,10070.858333333334,10800.566666666668,2066.4,10530.591666666667,10122.108333333334,1849.8249999999998,10345.425,10448.491666666667,2009.091666666667,10122.108333333334,10070.858333333334,2117.2,11676.5,11618.5,1652.8,12746.3,14185.4,1836.8,9839.9,8723.5,1790.4,11016.0,10576.1,1701.4,8423.6,10104.4,bla209
NP_006297.2,4142.2,3234.4,1735.5,6128.6,3991.7,3288.6,6468.9,4026.6,3636.3,6562.7,3704.0,4015.9,7642.141666666666,4231.741666666667,2454.8333333333335,6913.125,3563.433333333334,2835.0166666666664,6939.483333333334,3550.525,2987.35,6913.125,3047.6749999999997,3495.608333333334,6470.8,3219.2,4571.2,6401.6,3544.2,5485.6,4312.3,2209.5,3355.3,4188.6,2211.0,3218.6,3147.5,1318.2,2841.9,bla210
NP_064502.9,2041.4,2364.6,2547.9,2336.5,3124.4,4342.6,2529.3,3370.9,5232.2,2326.3,5018.2,3174.4,3435.358333333333,3047.6749999999997,3594.4083333333333,2442.9416666666666,2802.258333333333,3647.9500000000003,2535.2916666666665,2983.441666666667,4296.991666666666,2329.358333333333,4101.116666666666,2773.0416666666665,3062.6,5084.1,4187.1,2714.2,4468.0,4227.0,2502.2,3878.6,3038.3,2641.2,4401.9,3529.0,2243.0,2738.3,2437.6,bla211
NP_004757.1,2000.8,2789.7,1916.1,2778.4,3883.7,2557.2,2791.8,4196.0,2599.0,2819.3,2660.3,3923.5,3325.25,3617.1583333333333,2723.266666666667,2917.775,3426.366666666667,2249.5916666666667,2835.0166666666664,3682.591666666666,2224.2916666666665,2828.466666666667,2254.0083333333328,3381.475,2996.6,2801.2,4454.8,2955.5,2998.3,4260.7,2799.7,2604.4,4514.6,2709.5,2481.9,4055.1,2466.7,2358.0,3903.9,bla212
NP_001104547.1,2538.1,1445.2,3820.4,4051.0,2587.1,7077.7,4190.3,2546.8,7443.2,4487.1,7840.7,2869.0,4296.991666666666,1864.1250000000002,5486.658333333333,4278.483333333333,2304.7916666666665,6031.358333333333,4268.85,2242.0750000000003,6060.591666666667,4646.091666666666,6350.483333333334,2512.8749999999995,3452.5,5585.4,2184.5,4469.1,8664.2,2826.9,2820.8,4487.7,1647.5,2558.1,4613.4,1578.0,1704.8,2493.5,993.2,bla213
NP_006319.1,4022.5,3096.7,2244.2,5622.8,4807.3,3429.6,5717.4,5039.4,3785.0,6021.2,3688.8,5202.8,7447.958333333335,4044.6499999999996,3151.2749999999996,6212.658333333334,4268.85,2965.191666666666,6156.766666666666,4408.708333333333,3067.408333333333,6350.483333333334,3037.433333333334,4460.841666666667,5404.4,3186.1,4455.5,5867.5,3847.8,4890.4,4353.7,2612.9,3649.3,4423.7,2980.1,3827.4,3895.6,2171.3,2812.0,bla214
NP_001035930.1,3816.4,6508.5,5158.8,6490.8,11496.5,9862.1,6483.6,10649.1,9249.8,7375.9,10492.9,11990.9,7026.483333333334,8092.3499999999985,7319.216666666667,7250.825,10192.508333333333,8212.491666666667,6978.675,9195.65,7517.808333333334,7864.5,8332.65,10448.491666666667,5225.4,7391.9,9119.5,3505.5,6006.4,6920.0,6293.4,8939.3,11425.9,6637.0,9445.4,11689.0,5449.3,7557.5,10158.8,bla215
NP_055792.1,1633.8,569.7,3755.2,2907.6,1071.2,6928.2,3225.7,1010.2,7221.6,3039.7,7137.1,1066.9,2605.366666666667,754.3416666666668,5427.374999999999,3093.7583333333337,1020.5083333333332,5885.516666666666,3302.3916666666664,943.4416666666667,5885.516666666666,3082.866666666667,5681.149999999999,980.2916666666666,2358.5,5575.9,924.1,2687.3,6613.7,815.6,1914.7,4278.8,638.1,2019.6,4579.3,624.7,1392.3,3241.2,500.3,bla216
NP_001129125.1,469.4,1500.6,3731.8,772.4,2442.4,6889.9,836.4,2514.4,7286.6,798.6,7495.2,2601.9,688.5166666666668,1930.5916666666662,5370.108333333333,769.5583333333333,2172.3333333333335,5815.691666666667,804.0333333333332,2217.2333333333336,5911.058333333333,765.5666666666667,6046.808333333333,2277.675,699.1,5944.9,2231.8,915.0,7185.9,2611.5,555.4,4665.5,1745.9,606.6,5016.2,1886.9,430.3,3059.7,1244.9,bla217
NP_000173.2,3130.0,7471.3,1684.0,4724.2,8828.1,2311.2,4836.8,9392.3,2431.9,4456.0,2287.1,8650.1,5786.783333333333,9794.591666666669,2367.2916666666665,5054.516666666667,7569.316666666666,2029.4000000000003,4932.941666666667,7976.433333333333,2023.5333333333335,4575.675,1915.3833333333332,7162.716666666668,5423.4,2612.5,12056.5,4495.2,2813.3,10400.9,4428.6,2091.1,10275.0,5526.8,2708.4,12362.0,4081.7,2504.8,13104.6,bla218
