Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
NP_001180197.1,24.7,0.0,139.4,27.9,0.0,188.5,29.6,0.0,175.5,31.9,212.2,0.0,42.574999999999996,0.0,143.70833333333334,39.44166666666667,0.0,134.85,40.449999999999996,0.0,121.49166666666667,42.26666666666666,147.175,0.0,31.1,201.7,,34.8,155.9,,32.7,226.0,,35.0,213.3,,28.4,272.7,,bla2282
NP_002346.1,0.0,586.7,210.8,0.0,902.0,274.2,0.0,909.3,266.7,0.0,285.7,884.3,0.0,778.6250000000001,242.17500000000004,0.0,860.1749999999998,207.42499999999998,0.0,865.15,193.4,0.0,206.66666666666666,811.875,,279.1,884.7,,292.8,852.7,,263.2,792.2,,244.1,875.1,,266.4,714.5,bla2283
NP_060531.2,0.0,752.9,942.0,0.0,1260.3,1994.1,0.0,1352.6,2549.0,0.0,2820.7,1367.6,0.0,971.9916666666668,1325.3500000000001,0.0,1169.6083333333333,1757.7583333333332,0.0,1207.6666666666667,2144.433333333333,0.0,2367.2916666666665,1213.6416666666667,,1483.7,1176.8,,1705.1,983.4,,1193.0,840.0,,1305.8,793.7,,743.5,609.2,bla2284
NP_115898.2,0.0,153.5,125.3,0.0,193.8,204.7,0.0,187.7,212.6,0.0,222.7,219.0,0.0,219.85000000000002,123.67500000000001,0.0,215.95833333333334,149.975,0.0,208.88333333333333,147.675,0.0,157.26666666666668,229.725,,200.6,211.1,,165.3,158.1,,174.5,185.3,,161.1,153.1,,137.4,162.6,bla2285
NP_003013.1,0.0,396.1,643.4,0.0,576.2,2076.0,0.0,628.0,2354.1,0.0,2478.4,664.8,0.0,547.7166666666667,850.1500000000001,0.0,570.0583333333333,1829.0666666666668,0.0,618.0083333333333,1978.6666666666663,0.0,2092.9666666666667,630.0916666666667,,1276.8,532.9,,1319.6,571.9,,1243.0,531.9,,1204.1,570.0,,684.1,433.1,bla2286
XP_011536034.1,0.0,496.1,149.3,0.0,657.8,203.7,0.0,701.1,226.3,0.0,204.4,669.0,0.0,671.3916666666667,156.54166666666666,0.0,647.9999999999999,148.29166666666666,0.0,687.3250000000002,159.0583333333333,0.0,140.24166666666665,634.2499999999999,,204.4,681.6,,281.6,844.8,,184.9,515.3,,211.7,562.2,,154.1,421.3,bla2287
NP_054766.1,0.0,1591.1,1105.2,0.0,4797.1,3093.8,0.0,4930.0,3512.2,0.0,3873.7,5716.1,0.0,2045.0,1587.2750000000003,0.0,4261.658333333334,2671.108333333333,0.0,4287.9833333333345,2909.808333333333,0.0,3178.7833333333333,4842.283333333333,,1787.1,2691.5,,2512.6,2760.2,,1682.2,2356.8,,1565.5,1973.7,,913.8,1130.1,bla2288
NP_079216.4,177.2,437.7,0.0,265.5,466.7,0.0,234.9,457.4,0.0,251.7,0.0,475.0,268.01666666666665,595.8583333333333,0.0,275.75,472.02500000000003,0.0,236.51666666666668,460.3833333333334,0.0,251.0333333333333,0.0,457.3333333333333,197.2,,632.9,384.9,,430.9,153.6,,513.9,231.9,,506.4,122.3,,528.8,bla2289
NP_000908.2,0.0,374.3,435.9,0.0,434.9,667.2,0.0,437.6,705.9,0.0,686.7,493.1,0.0,511.7000000000001,568.35,0.0,441.4833333333332,572.875,0.0,441.4833333333332,578.0666666666666,0.0,560.425,476.40833333333336,,675.3,506.4,,776.1,401.4,,502.1,406.3,,586.3,329.0,,391.6,294.5,bla2290
NP_064574.1,435.1,287.3,502.3,735.4,496.6,1016.9,818.4,536.4,1195.2,755.6,1104.3,443.4,629.0333333333334,402.7916666666667,671.3916666666667,721.8000000000001,494.5833333333333,884.5500000000001,779.8833333333332,520.8333333333334,1013.7000000000003,716.5833333333334,934.3083333333333,431.1583333333333,651.9,820.4,445.7,539.2,831.7,353.3,571.0,698.3,407.1,661.5,757.2,359.9,407.2,431.2,265.8,bla2291
