_GENE_SYMBOL_,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Accession,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NASP,6678.0,7812.2,23632.4,3167.2,4442.9,10817.7,7370.7,7902.2,26829.9,8032.3,28967.9,8227.4,7654.358333333334,6712.008333333332,19497.6,5927.283333333334,5798.841666666667,15260.291666666666,8117.816666666666,6616.516666666666,22388.74166666667,8681.541666666666,22905.83333333333,6777.875,XP_005270945.1,5019.9,16510.7,6294.9,4965.1,17224.7,6428.3,3863.1,13128.5,4791.1,3725.5,12054.2,4379.4,2238.9,7212.0,3294.5,bla106,11287.988888888887,0.8303481312959066,0.08073978738039903,8995.47222222222,0.5665890230918491,0.24673184361158793,12374.358333333332,0.9566106649906458,0.01926478160667654,0.8826729049508779,-0.18004918230348968,,0.7034078147976793,-0.5075667316227085,down-regulated,0.9676223926600245,-0.047483938420126416,
PDCD6IP,3916.6,10498.8,5156.1,3919.2,9570.2,4005.4,4000.3,10798.5,5487.0,3741.7,5308.7,10539.6,4160.741666666667,9434.091666666667,4439.233333333334,7204.166666666667,12918.458333333334,5695.591666666667,4120.483333333334,9397.1,4543.158333333334,3900.783333333333,4351.458333333333,9016.450000000004,NP_037506.2,6567.5,6059.0,13863.4,6432.1,5726.9,12708.3,4994.3,5106.5,12164.3,5467.7,5585.9,11754.3,5575.6,4582.2,12490.4,bla120,6011.355555555555,0.9194158731466446,0.03648800269524712,8606.072222222223,0.36168548627960423,0.44166891826394317,6020.247222222223,0.9160973932493601,0.03805835263967298,1.0443215395105687,0.0625659763107991,,1.4950881725743552,0.5802305696305446,up-regulated,1.0458662425207854,0.06469835484382452,
H1-5,10256.8,35916.7,9804.5,4452.1,13159.5,4476.6,9550.2,36295.9,9955.4,9367.6,11044.6,39754.6,11130.116666666669,28816.166666666668,8117.816666666666,8117.816666666666,17749.308333333334,6259.316666666667,10079.108333333334,27784.68333333333,8003.775000000001,9899.45,8779.6,29591.775000000005,NP_005313.1,7429.8,6383.6,19926.1,10323.6,7058.6,23756.7,5463.0,5426.8,18114.5,5262.2,5128.6,14868.1,4053.3,3260.9,9408.7,bla123,16021.366666666669,0.9944713820342246,0.002407710079462669,10708.813888888888,0.5314354433012284,0.2745494843314028,15289.188888888888,0.9349833089027327,0.029196141978971076,0.9957173924415006,-0.006191764619475493,,0.6655457342331865,-0.5873902878270157,down-regulated,0.9502130255007378,-0.07367711156891495,
CAST,8121.6,4028.2,8218.3,3984.6,1971.5,3149.7,8950.6,3951.7,8941.0,9303.3,9476.4,4092.8,9077.783333333333,3592.1666666666665,7022.291666666668,7398.291666666667,2571.0083333333328,4543.158333333334,9501.875000000002,3511.2333333333336,7238.6416666666655,9821.325,7588.7,3582.808333333334,NP_001741.4,5844.3,5264.6,2802.1,7091.6,6023.6,3400.7,5781.5,5664.9,2943.5,6178.2,5727.2,2888.3,4254.2,3708.5,2458.9,bla164,6564.080555555556,0.867057965913008,0.061951867420393984,4837.48611111111,0.4042643102311562,0.39333459790411596,6750.583333333333,0.9268095992039571,0.03300947675979178,0.9380459204331636,-0.0922695457505309,,0.691305366117008,-0.5326049705725897,down-regulated,0.9646982700445388,-0.05185031559336773,
GART,6297.9,2863.3,2466.0,6107.5,2283.8,1950.8,7084.5,3117.2,2751.2,6396.4,2383.4,2851.9,7069.974999999999,2534.866666666667,2161.2833333333333,10550.366666666669,2923.4666666666667,2794.6083333333336,7654.358333333334,2765.358333333333,2336.625,6777.875,2008.158333333333,2490.3416666666667,NP_000810.1,9581.2,3469.3,3739.4,10005.1,3780.8,4168.9,7009.7,2396.9,2600.9,7006.5,2684.5,2891.8,5917.3,1770.1,2158.5,bla180,3922.0416666666665,0.9441101218069061,0.024977346269964208,5422.81388888889,0.6126441083777407,0.21279173861750308,4252.113888888889,0.8395585054332262,0.07594903424721872,1.0434315105696645,0.061335907058089514,,1.4427013704906648,0.528772702532714,up-regulated,1.1312448962247768,0.17791128328285788,
NOP2 ,1423.7,0.0,407.2,701.5,0.0,188.7,1530.3,0.0,428.5,1664.2,422.7,0.0,1439.8916666666669,0.0,335.64166666666665,1042.1833333333332,0.0,212.45833333333331,1487.8,0.0,330.53333333333336,1597.5500000000002,326.7416666666666,0.0,NP_001028886.1,1074.1,310.5,,1164.2,392.9,,760.0,249.2,,834.8,311.3,,425.7,164.8,,bla194,591.8444444444445,0.943174911018378,0.025407760236115764,418.2138888888888,0.7237401069633673,0.14041735973508945,606.1111111111111,0.9601435115422856,0.017663848613812736,0.9226944979754457,-0.11607504096299752,,0.6520018188510922,-0.6170521058239684,down-regulated,0.9449364484767122,-0.08171079047488333,
SNRNP200,5277.8,2801.3,6656.5,4185.8,2820.7,5424.4,5465.3,3134.9,7844.6,5026.6,7069.5,2791.5,5798.841666666667,2490.3416666666667,5604.275000000001,7698.016666666667,3657.3250000000007,7698.016666666667,5734.283333333333,2794.6083333333336,6390.991666666666,5148.5,5604.275000000001,2433.7333333333336,NP_054733.2,7135.1,9006.9,4502.7,6391.4,8875.9,4050.0,4769.2,6445.2,2987.3,5075.6,6772.4,3016.7,4059.8,4962.8,2848.4,bla201,4631.152777777778,0.8795562785029194,0.055736366938405314,6351.1194444444445,0.3122744290037113,0.5054635770802729,4973.294444444444,0.7170760592738898,0.1444347768690897,1.05361161439628,0.07534315421841777,,1.4449130771919023,0.5309827059604904,up-regulated,1.1314506430499351,0.17817365170141047,
RARS1,775.8,3640.5,4370.0,710.5,3561.4,3421.0,788.2,3744.6,4679.0,776.5,4350.0,3822.3,774.2666666666665,3254.650000000001,3695.3916666666655,1056.4166666666667,4686.883333333332,5005.241666666668,749.15,3311.808333333334,3834.808333333334,735.6166666666667,3511.2333333333336,3293.4166666666665,NP_002878.2,1021.7,5557.3,5260.1,893.2,5121.3,3932.8,811.2,4276.4,4052.3,872.2,4654.2,3888.1,730.2,3808.8,3868.2,bla220,2574.769444444444,0.9638774390145646,0.01597818491830979,3582.8472222222226,0.5318690986980432,0.2741952412168721,2631.922222222223,0.932033750997017,0.030568360600564674,1.0244078458763615,0.03479020760246208,,1.4254856150091955,0.5114534806931861,up-regulated,1.0471468736737872,0.06646381004322773,
CAD,3396.6,2581.7,3594.9,3166.2,2013.1,2939.0,3787.7,2589.9,3974.7,3313.5,3514.4,2395.5,3605.841666666667,2300.4,3092.2416666666672,5897.424999999999,2625.5750000000003,4219.575,3906.8333333333335,2283.1416666666664,3262.875,3347.2,2887.9083333333333,2114.0,NP_004332.2,5157.9,4983.2,3153.5,5078.6,5395.3,3250.7,3564.2,3353.7,2154.2,3896.1,3912.9,2302.6,3088.7,2726.7,1827.7,bla239,2999.4944444444445,0.7003105654119139,0.15470932150938346,4247.525000000001,0.25755990970703374,0.5891217358308214,3150.9500000000003,0.5711374258827613,0.24325938015775486,1.0777777666876602,0.10805973101240977,,1.526219865794052,0.6099628104305872,up-regulated,1.1321987477704707,0.17912723312974707,
IARS1,4243.3,651.1,4527.8,4060.0,736.4,3848.4,4368.8,651.2,5011.1,3946.5,4401.8,630.2,4489.149999999999,639.4666666666666,3856.15,7510.200000000001,950.2416666666668,5512.358333333334,4489.149999999999,635.2833333333333,4091.025,4081.366666666667,3575.7083333333344,599.6083333333332,NP_002152.2,6810.8,6958.3,1166.3,5445.0,6224.5,650.4,4797.3,4972.3,878.8,5366.6,5761.9,811.8,4780.1,4146.3,865.5,bla265,2994.9222222222215,0.887708363695431,0.05172968832105323,4657.6,0.45209681687512265,0.3447685507370751,3071.819444444444,0.8547856487678592,0.0681427779366625,1.0881810896627173,0.12191866267152143,,1.692301791881728,0.7589868703647719,up-regulated,1.1161210817095641,0.15849354554196224,
