Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,-log10_pvalues1,s3_avg,p_value_s3,-log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s3,log2_fc_s3,expression_s3
NP_003891.1,0.0,1067.5444444444445,874.6407407407409,0.0,1102.2814814814817,915.0333333333334,0.0,1217.3814814814818,943.6296296296296,0.0,1118.1185185185186,845.0666666666667,0.0,1303.222222222222,933.0925925925928,0.0,1508.3777777777775,1081.2444444444443,0.0,1671.5592592592598,1531.325925925926,0.0,1919.4,1600.5851851851855,0.0,2082.8703703703704,1939.303703703704,672.4382716049384,0.9603275949974479,0.017580591512199203,654.395061728395,0.9888370817820422,0.004875255734875724,1.0386830412479264,0.05475547658821696,,1.010812563168634,0.015515500448403389,
NP_000970.1,68.34444444444445,969.9111111111108,3579.907407407408,60.01851851851852,953.0444444444444,3448.3962962962974,65.18888888888891,1096.8222222222223,3588.462962962963,70.51111111111112,866.3703703703702,3232.696296296297,65.71111111111111,1048.9000000000003,3391.4333333333334,68.34444444444445,1079.1555555555558,3036.2481481481486,71.09629629629629,996.2518518518516,3521.2518518518523,69.0037037037037,1065.6296296296296,3041.770370370371,71.60370370370372,1236.2592592592594,3779.514814814814,1487.1530864197532,0.973208924440315,0.011793917191474065,1389.8592592592595,0.9211409782226667,0.035673897079275964,0.9660679571161853,-0.04980341726925459,,0.9028650160718067,-0.14741778292934257,
NP_001269673.1,1128.3185185185189,2219.5185185185182,200.5111111111111,1158.1481481481478,2266.0481481481484,187.81111111111107,1526.414814814815,2740.703703703703,179.61481481481482,1178.4962962962964,2247.022222222222,202.38888888888889,1436.451851851852,2552.611111111112,199.4333333333334,1531.325925925926,2774.644444444444,264.02592592592595,1740.888888888889,2774.644444444444,225.38148148148144,1714.0074074074073,2927.933333333334,249.962962962963,1738.3925925925923,2881.977777777777,198.97407407407405,1204.0024691358024,0.9809937093117508,0.008333777553745264,1209.3024691358023,0.9760443652744761,0.010530441394793484,1.0179405336233656,0.025653284053559967,,1.0224214918992038,0.031990068011897084,
NP_001015.1,4822.444444444444,3097.833333333334,5584.277777777779,4576.366666666667,3161.9629629629635,5405.666666666667,4126.451851851853,3287.274074074075,4839.174074074074,4266.462962962963,3104.185185185185,5271.951851851853,4049.7703703703705,3135.818518518519,4602.651851851851,4247.896296296297,3361.451851851852,5314.681481481482,3939.218518518519,3225.285185185185,4716.077777777777,4106.881481481482,3201.7925925925924,4861.762962962962,4001.466666666666,3315.851851851853,4422.592592592592,4381.332098765432,0.9088330661119908,0.04151588039105112,4214.2,0.7813098883147336,0.1071766791931133,0.9733009162888792,-0.039042181637882645,,0.9361729786656353,-0.09515297062758682,
XP_006711821.1,640.0259259259258,0.0,776.4592592592593,765.0814814814813,0.0,765.0814814814813,802.151851851852,0.0,802.9407407407407,786.2851851851852,0.0,745.9333333333334,854.2814814814815,0.0,922.4111111111112,937.9,0.0,989.5888888888886,694.8999999999999,0.0,662.6074074074072,724.362962962963,0.0,731.8518518518518,777.6814814814816,0.0,717.3481481481482,510.0543209876542,0.9189612931313862,0.03670278081570608,510.7395061728395,0.917608804578579,0.03734242797345457,1.080253418084931,0.11136979583982226,,1.0817045843781297,0.11330655014007963,
NP_000972.1,1736.3925925925926,6017.962962962963,6988.133333333333,1588.903703703704,5458.003703703705,6419.066666666667,1967.8740740740743,6037.055555555555,5975.988888888887,1627.7407407407406,5055.14074074074,6037.055555555555,1782.825925925926,5858.292592592592,6125.562962962962,1848.1148148148147,5584.277777777779,6902.855555555556,1782.825925925926,5799.151851851852,5916.174074074074,1799.0074074074078,5654.1,6081.322222222224,1910.3518518518515,6267.996296296296,5561.192592592593,4488.658024691358,0.8552766517274324,0.06789338365232683,4239.979012345678,0.7642505065491009,0.11676426474919915,0.9134125299713199,-0.13066151449505217,,0.8628079785512871,-0.21288857744885312,
NP_001309722.1,412.34444444444455,577.5259259259258,1455.051851851852,479.25925925925935,665.0148148148147,1560.4703703703706,543.8555555555556,727.7666666666665,1922.0074074074075,419.1629629629629,634.7888888888891,1604.0962962962965,564.6296296296297,681.5592592592593,2004.1370370370369,458.6703703703704,654.4296296296296,1733.748148148148,552.4296296296296,729.5740740740739,1898.5296296296292,531.1148148148148,698.166666666667,1851.1333333333328,608.374074074074,667.914814814815,1924.237037037037,901.5814814814815,0.8612822903641009,0.06485448262966918,886.0160493827161,0.8912399234256722,0.05000536735086756,1.1062701381093696,0.14570371769152904,,1.0871708408508034,0.12057866702727793,
XP_016883513.1,633.1888888888888,160.67407407407407,951.6,629.8777777777779,194.93703703703704,937.9,688.1185185185185,212.87037037037044,1139.8777777777775,647.2851851851852,193.4259259259259,965.9592592592592,669.074074074074,212.12592592592597,1107.1444444444444,597.0148148148148,249.962962962963,999.1222222222224,596.0999999999999,186.4,975.3962962962962,559.7666666666668,210.7037037037037,936.4740740740742,556.1592592592592,205.54444444444445,954.1851851851852,587.5716049382717,0.9863132253213274,0.005985143449877955,602.2234567901234,0.9523703628797642,0.021194128006813293,1.0098838257917355,0.014189338923488294,,1.0350665747175216,0.049723563788285824,
NP_001207417.1,485.62592592592586,3448.3962962962974,804.3555555555556,495.1888888888889,3361.451851851852,787.3703703703702,395.7592592592592,2050.918518518519,883.8592592592594,520.0962962962963,3521.2518518518523,787.3703703703702,443.3703703703704,2932.0444444444447,756.6814814814816,569.2111111111111,2916.814814814815,798.7851851851852,505.4555555555556,4126.451851851853,1025.9592592592596,649.4703703703703,4751.522222222222,1005.125925925926,558.1296296296296,4106.881481481482,1150.574074074074,1548.0037037037036,0.9819672645935991,0.007902989853915741,1609.572839506173,0.9831741925769664,0.007369529804794474,0.98008460467014,-0.029021801302775915,,1.0190657530863039,0.027247141387036974,
NP_004068.2,2464.7740740740733,2460.385185185185,3071.6888888888884,2480.451851851852,2499.103703703703,2972.096296296297,3028.937037037037,3175.9629629629626,3735.4555555555553,2617.874074074074,2468.662962962963,3097.833333333334,2831.751851851852,2985.781481481481,3579.907407407408,2871.929629629629,2702.3,3047.1925925925925,2850.200000000001,2794.3370370370367,3473.3,2967.4,2814.103703703704,3369.1888888888884,3726.944444444444,3919.722222222223,4399.592592592594,2650.5506172839505,0.9565502970325206,0.019292189097866973,2728.1234567901233,0.8331314845384996,0.07928645297100381,0.9943482362727168,-0.008176900283408912,,1.0234495164530102,0.033439940505774104,
NP_004634.1,1825.6,2711.5222222222224,1343.4851851851854,1698.8962962962964,2536.385185185185,1288.1518518518517,1182.925925925926,1910.3518518518515,1017.5148148148148,1586.6111111111106,2421.114814814814,1316.448148148148,1229.5999999999997,1935.1074074074077,999.1222222222224,1268.040740740741,1907.1185185185184,916.2629629629632,1209.448148148148,1942.5962962962965,1176.7777777777778,1313.0925925925924,2066.9814814814813,1171.2037037037037,919.0518518518523,1614.0851851851853,924.1333333333334,1841.1444444444442,0.8374041854668015,0.07706487277295473,1774.724691358024,0.7402114783269246,0.13064418466188232,0.9392623840822689,-0.09039986210251878,,0.9053782552066928,-0.1434074376082059,
XP_011524051.1,1118.1185185185186,2004.1370370370369,434.0592592592593,1060.540740740741,1854.3259259259255,339.5037037037037,1037.2814814814817,1901.114814814815,235.2555555555555,1024.5555555555557,1709.5037037037036,364.6962962962963,1118.1185185185186,1910.3518518518515,289.10740740740744,1087.6444444444444,1488.1148148148147,295.9777777777777,1031.477777777778,1729.4592592592596,274.50370370370376,1116.385185185185,1709.5037037037036,286.8111111111112,1171.2037037037037,1924.237037037037,234.6148148148148,1084.79012345679,0.8809774678101909,0.05503519911444273,1032.9185185185186,0.8114720493513705,0.09072643458269068,0.9150962554871094,-0.12800459191670055,,0.8713389328320514,-0.1986940883448013,
NP_004716.1,2379.174074074074,548.8074074074075,543.8555555555556,2569.2740740740737,542.8740740740741,555.3037037037037,2826.592592592593,691.5666666666666,480.2851851851851,2735.529629629629,573.2518518518517,549.7629629629631,2839.318518518519,692.8962962962963,492.3777777777776,3028.937037037037,667.0703703703701,554.4037037037037,2797.729629629629,762.7962962962963,455.67777777777775,2536.385185185185,504.74814814814806,525.6814814814816,2577.6185185185186,686.925925925926,390.188888888889,1222.4839506172839,0.9463036090945016,0.02396950355588061,1286.1814814814813,0.8985757050793698,0.04644532766665597,1.0563433170186347,0.07907879422638957,,1.1113840895416665,0.1523574920776289,
NP_001269210.1,497.08518518518525,259.5740740740741,74.0851851851852,497.7777777777778,273.1666666666667,64.35185185185186,497.7777777777778,306.7333333333333,64.65185185185186,507.7370370370369,267.1629629629629,84.78148148148146,539.2296296296296,286.8111111111112,66.92222222222222,690.3888888888889,286.2037037037037,95.42962962962964,544.5518518518519,323.19629629629634,71.09629629629629,596.0999999999999,326.862962962963,88.94814814814812,722.1185185185184,414.91481481481486,63.63703703703705,278.43209876543216,0.9935000560732332,0.0028321040425454288,286.5604938271604,0.958251337216597,0.01852056602572713,1.0054792444081837,0.007883301137604814,,1.0348326579016585,0.049397489333699064,
