_GENE_SYMBOL_,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Accession,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
GAA,542.1,19.7,1535.1,304.5,16.9,827.7,582.6,16.7,1650.0,497.9,1536.0,25.0,524.7166666666666,41.95833333333333,1377.9916666666668,445.31666666666666,40.34166666666666,1150.225,547.6,36.866666666666674,1428.7083333333333,459.35,1324.1750000000002,44.60833333333333,NP_000143.2,467.0,1238.1,18.1,389.1,1073.0,6.9,409.3,1120.1,15.4,491.3,1415.7,14.1,347.9,1024.5,11.5,bla1612,648.2222222222223,0.9463888639293415,0.023930378653257176,545.2944444444444,0.903800956199335,0.04392720353162042,671.0583333333333,0.9167950181690451,0.03772775531077327,1.0637444387717891,0.0891515895588681,,0.8948380862081537,-0.16030143302063093,,1.1012189118226239,0.13910129143408034,
ASNS,1389.2,0.0,2256.7,919.5,0.0,1460.8,1527.6,0.0,2557.6,1346.0,2301.3,0.0,1391.875,0.0,2004.175,1432.3833333333334,0.0,2045.9166666666667,1484.5416666666667,0.0,2153.775,1302.575,1938.1,0.0,NP_001339425.1,1319.8,2169.5,,2154.2,3753.4,,1474.4,2380.9,,1275.8,1978.4,,716.0,926.1,,bla1613,1132.0166666666667,0.9528335772271254,0.020982947004374232,1159.4333333333334,0.9287793074487389,0.03208746893801906,1212.7722222222221,0.8843453884551395,0.0533780845294236,1.0479452583180973,0.0675633565550347,,1.0733257731799701,0.102088025785651,,1.1227033462678813,0.16697677243464054,
PUS7,116.9,620.7,269.8,139.7,508.1,226.8,150.0,597.7,279.3,145.3,281.5,604.4,129.63333333333335,612.5916666666666,202.225,210.9916666666667,689.2833333333333,261.65000000000003,156.42500000000004,590.0333333333333,206.16666666666663,145.15,201.675,579.6083333333333,NP_001305092.1,206.4,306.2,709.1,177.7,247.5,692.2,122.3,221.0,548.7,127.8,233.1,536.7,114.8,197.1,478.2,bla1614,314.81666666666666,0.977827880089743,0.009737584175360732,387.30833333333334,0.7201668234808587,0.14256688950606655,317.5416666666667,0.9661415336350032,0.0149592475242771,1.0194473428561148,0.02778725827525917,,1.254191702946785,0.32675788063821687,,1.0282715072140467,0.04022124740508661,
ARPC4,842.9,39.8,1236.8,788.0,37.8,1084.2,829.5,41.4,1182.3,938.0,1354.3,42.3,844.9999999999999,60.66666666666666,1087.7916666666667,1200.2583333333334,69.41666666666667,1556.9833333333331,793.4500000000002,61.98333333333334,995.35,902.1833333333332,1140.075,59.96666666666666,NP_005709.1,1025.4,1421.1,41.9,884.8,1281.0,43.3,1006.6,1436.4,38.0,849.8,1205.0,33.8,960.2,1378.4,32.5,bla1617,664.4861111111111,0.9398041173530339,0.026962656631873413,942.2194444444444,0.6880755434316047,0.1623638781969992,616.9277777777778,0.8562321862168886,0.06740845083754332,0.9482611677310151,-0.07664363755816943,,1.3446031387379245,0.42718042240213067,,0.8803925999040699,-0.18378107610787955,
UTP20,486.3,156.4,0.0,564.3,144.0,0.0,493.2,163.8,0.0,482.7,0.0,155.4,477.0,179.91666666666666,0.0,843.5833333333334,207.9333333333333,0.0,475.4333333333332,184.3083333333333,0.0,449.3333333333333,0.0,173.98333333333338,NP_055318.2,856.8,,228.6,678.6,,178.6,500.2,,162.8,514.6,,141.9,530.3,,148.2,bla1618,218.9722222222222,0.9560453233404336,0.019521518592026187,350.50555555555553,0.6515305176498589,0.18606523714782086,219.91388888888886,0.9522304252726967,0.02125794624215955,1.053905184630605,0.07574507967319767,,1.686970239845985,0.7544345229999173,up-regulated,1.0584373913741008,0.08193593365773365,
DAZAP1,1610.7,721.4,2303.0,1114.0,363.7,1537.2,1635.4,702.1,2342.8,1721.9,2369.7,764.8,1616.4583333333333,706.9833333333332,2027.3583333333331,1801.6416666666669,493.5916666666666,2126.4166666666665,1591.0000000000002,690.5749999999999,1973.8083333333332,1655.6583333333335,1982.7,724.1750000000001,NP_061832.2,1769.6,2319.5,603.7,1785.7,2594.5,670.6,1210.4,1732.9,460.6,1203.1,1892.8,550.4,1161.3,1688.2,319.4,bla1619,1450.2666666666664,0.9945935609693508,0.0023543567311132226,1473.8833333333332,0.976481537243401,0.010335963691143348,1418.461111111111,0.9500271305020105,0.02226399212265645,0.9973104312478985,-0.0038854549452566256,,1.0135509948348054,0.01941867700854987,,0.97543858308628,-0.03587705615480849,
PPP2R5D,697.3,1065.3,305.3,605.4,757.4,240.6,692.0,1056.2,280.4,750.4,320.3,1014.8,681.5666666666666,1015.4333333333336,239.3,891.0583333333335,982.0583333333332,278.275,651.5583333333333,996.6666666666669,207.28333333333333,708.0666666666666,235.67500000000007,930.4666666666666,NP_006236.1,792.0,326.4,1071.0,728.6,234.6,968.3,582.4,264.8,799.8,611.0,228.2,854.4,579.0,196.1,704.0,bla1620,645.4333333333334,0.9490337136243252,0.022718359352538388,717.1305555555556,0.7745159637539945,0.11096962645374728,618.5027777777779,0.9847773793889681,0.006661935827529745,1.0331295435850694,0.04702116433862559,,1.1478935550565796,0.19898886613207345,,0.9900224539249907,-0.014466848686149045,
RNF20,1765.2,98.1,921.8,923.1,78.6,426.6,1722.9,81.7,1029.4,1738.0,1025.2,97.3,1814.3500000000004,119.06666666666666,793.4500000000002,1441.6,122.86666666666665,555.8833333333333,1669.05,105.05833333333334,858.8916666666668,1669.05,857.7000000000002,112.45,NP_062538.5,1438.6,716.3,103.8,1904.9,849.8,80.6,1222.2,535.2,76.6,1276.0,580.6,51.4,825.3,284.6,65.3,bla1621,908.9555555555557,0.9671707466103755,0.014496847773652037,706.7833333333333,0.7856399358207872,0.10477644850805169,877.6666666666666,0.997567316839258,0.0010577880267860483,1.0332171365060123,0.047143476701749,,0.803406335253107,-0.31579825710094045,,0.9976508032737194,-0.003393161631505496,
BOLA2B,1819.7,1795.9,206.0,1286.3,1261.6,168.7,1856.5,1741.0,254.5,1824.0,199.4,1639.1,1855.95,1591.0000000000002,149.4,2081.6583333333333,1597.5500000000002,187.39166666666665,1824.8,1514.5833333333333,176.89166666666668,1781.8666666666668,136.70833333333334,1413.5083333333332,NP_001034271.2,1653.3,222.0,1862.0,1757.9,277.0,1437.8,1562.0,215.6,1910.4,1608.7,215.8,1633.7,1365.5,129.3,1562.3,bla1622,1198.7833333333335,0.909515146944331,0.04119006385771167,1288.8666666666668,0.8254106423783608,0.0833299358748858,1172.0916666666667,0.9352450877865579,0.029074564180593312,1.0793097411529327,0.11010894999623007,,1.1604151556833815,0.21464104319118008,,1.055278229336001,0.07762342278370839,
BOLA2B ,1819.7,1795.9,206.0,1286.3,1261.6,168.7,1856.5,1741.0,254.5,1824.0,199.4,1639.1,1855.95,1591.0000000000002,149.4,2081.6583333333333,1597.5500000000002,187.39166666666665,1824.8,1514.5833333333333,176.89166666666668,1781.8666666666668,136.70833333333334,1413.5083333333332,NP_001034271.2,1653.3,222.0,1862.0,1757.9,277.0,1437.8,1562.0,215.6,1910.4,1608.7,215.8,1633.7,1365.5,129.3,1562.3,bla1622,1198.7833333333335,0.909515146944331,0.04119006385771167,1288.8666666666668,0.8254106423783608,0.0833299358748858,1172.0916666666667,0.9352450877865579,0.029074564180593312,1.0793097411529327,0.11010894999623007,,1.1604151556833815,0.21464104319118008,,1.055278229336001,0.07762342278370839,
