Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
NP_003118.2,14067.4,22437.8,15435.1,12482.5,19471.8,13776.1,8107.4,12342.8,10094.1,12386.8,20310.7,13935.0,11113.5,16902.3,13264.6,10949.9,19383.5,13034.8,9198.6,13521.3,11341.6,9994.7,16852.3,11944.8,9471.5,13440.6,12543.0,13594.8,17091.14814814815,13106.362962962963,12691.822222222223,15930.070370370373,11786.6,13846.91111111111,16267.788888888888,12597.355555555558,12005.422222222225,15225.14074074074,11786.6,12521.874074074076,14927.925925925925,11214.114814814817,10992.933333333329,14927.925925925925,10092.37037037037,12084.977777777778,13846.91111111111,11147.651851851853,12597.355555555558,16715.466666666664,12691.822222222223,16050.625925925924,17959.62222222222,14927.925925925925
XP_005264575.1,13844.7,23159.2,11513.9,12502.6,21544.9,10567.8,8045.0,12707.0,8314.0,13734.2,22951.9,10967.8,12292.1,19219.3,10816.3,12163.7,22847.9,10639.9,10317.9,15777.4,9046.2,11330.1,18550.6,9654.3,9449.3,15110.8,10000.2,13396.937037037038,17657.90740740741,9620.437037037038,12782.418518518518,17495.17037037037,9138.94074074074,13396.937037037038,16715.466666666664,10330.455555555558,13505.418518518518,17495.17037037037,9363.34814814815,14535.344444444445,17305.181481481482,8958.222222222223,12370.644444444442,17305.181481481482,8596.366666666665,13396.937037037038,15748.6,8546.207407407408,14658.714814814814,17959.62222222222,9446.362962962963,15930.070370370373,19687.366666666665,11354.237037037035
XP_011522177.1,9375.8,14853.9,18275.9,9102.2,14231.8,16970.0,5916.6,9334.1,13268.1,9655.0,15309.1,18643.8,8929.8,13879.0,19230.2,8442.7,14187.0,15674.6,5837.8,9441.7,13574.7,6419.2,10388.4,13008.8,5561.1,8358.1,12850.5,9574.362962962963,11147.651851851853,15225.14074074074,9825.877777777776,11354.237037037035,14927.925925925925,9895.422222222223,12691.822222222223,17091.14814814815,9856.933333333336,11535.962962962965,15532.4,10092.37037037037,12274.696296296293,16906.51111111111,8676.411111111112,10792.688888888888,12914.618518518519,7763.337037037038,9996.740740740743,13286.466666666667,8384.655555555555,10235.555555555558,13396.937037037038,9065.022222222224,11284.896296296294,15047.896296296296
NP_004125.3,13575.7,24619.8,19518.9,11702.2,22840.0,17984.4,7678.7,15241.7,12907.3,12926.3,23611.9,18979.0,11561.6,23230.3,18705.8,12683.9,28475.0,18664.4,9781.4,18597.6,16023.2,10836.1,21763.8,16788.7,7404.6,16460.6,13852.7,13009.448148148147,18645.27037037037,16050.625925925924,12005.422222222225,18178.16296296296,15748.6,12691.822222222223,21062.459259259256,16715.466666666664,12597.355555555558,17959.62222222222,15930.070370370373,13286.466666666667,20876.38148148148,16050.625925925924,13211.859259259258,21760.211111111115,14927.925925925925,12597.355555555558,18848.314814814814,15047.896296296296,13742.78888888889,20876.38148148148,16050.625925925924,12448.87777777778,21062.459259259256,16501.866666666665
NP_000282.1,14446.5,29622.8,33127.1,13593.7,28370.7,31594.6,11312.1,20063.7,23619.7,15106.4,30449.6,34012.2,17241.8,29842.1,35202.1,18749.5,31284.0,32735.3,15202.9,26891.9,32793.6,16475.2,29688.1,33512.8,14904.6,24709.5,30603.3,14238.985185185187,22736.351851851847,24771.4074074074,14134.866666666667,22736.351851851847,24771.4074074074,21350.111111111117,29596.79259259259,28113.70740740741,15367.451851851847,22165.59259259259,25280.94444444444,21062.459259259256,28751.551851851844,28751.551851851844,20302.09259259259,23792.018518518522,25936.725925925926,19687.366666666665,27558.16666666667,28113.70740740741,21760.211111111115,28751.551851851844,33355.5,28751.551851851844,35542.33333333333,39181.1962962963
XP_011532005.1,15970.2,7458.7,17164.5,15619.6,7458.7,16917.2,9314.3,4534.0,10041.2,15484.3,7445.8,16161.7,12864.5,6240.5,14782.2,14343.9,6761.9,16544.9,10709.4,5089.7,11377.7,10904.5,5368.6,11600.5,9195.6,4626.1,10492.5,16050.625925925924,5706.622222222221,14134.866666666667,17091.14814814815,6140.907407407409,14791.448148148147,15748.6,6081.322222222224,12521.874074074076,15930.070370370373,5748.277777777777,14134.866666666667,15047.896296296296,5502.2962962962965,12597.355555555558,14535.344444444445,5285.429629629629,13846.91111111111,13979.385185185187,5390.477777777779,11284.896296296294,13846.91111111111,5390.477777777779,11891.129629629628,15532.4,6292.251851851852,12084.977777777778
NP_004095.4,7384.0,5818.4,9925.7,7838.2,5792.7,10344.6,7646.8,5278.8,9083.6,8575.6,6471.6,10770.4,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,7590.218518518518,4433.577777777778,8122.807407407409,8446.27777777778,4716.077777777777,8741.981481481482,12597.355555555558,7211.133333333333,11535.962962962965,8705.296296296296,4952.555555555556,8869.937037037036,13979.385185185187,8009.399999999999,13009.448148148147,10191.1,5770.84074074074,8546.207407407408,9493.381481481481,5604.099999999999,9363.34814814815,9825.877777777776,5687.492592592591,9138.94074074074,9951.76296296296,5604.099999999999,8638.14074074074
NP_002147.2,11753.4,19421.8,30224.4,10276.0,17338.2,27908.7,6218.6,9871.0,17563.1,10741.5,18510.2,27891.5,8869.5,14262.0,24749.7,9377.0,15707.2,27722.1,7770.9,12503.4,20658.4,7504.2,13224.9,20693.6,5990.5,9674.4,18626.3,11443.370370370372,14927.925925925925,22736.351851851847,10859.388888888889,13742.78888888889,21760.211111111115,10330.455555555558,13286.466666666667,22165.59259259259,10919.125925925924,13742.78888888889,21350.111111111117,9895.422222222223,12782.418518518518,20876.38148148148,9715.225925925928,12521.874074074076,21062.459259259256,10235.555555555558,12521.874074074076,19983.77407407407,9404.040740740742,12782.418518518518,20876.38148148148,9825.877777777776,12597.355555555558,21760.211111111115
NP_005959.2,37888.5,53641.5,32903.4,33247.9,46260.1,29559.7,18817.6,25015.7,18001.6,36305.1,49844.5,31614.4,29245.4,39862.3,27626.7,31876.6,44992.4,29543.1,23170.1,30686.5,21617.1,23362.5,32125.6,21665.9,16172.1,20522.6,16548.5,42465.04074074075,39181.1962962963,24248.185185185186,34595.76666666667,39181.1962962963,23792.018518518522,34595.76666666667,34595.76666666667,23792.018518518522,39181.1962962963,39181.1962962963,23792.018518518522,34595.76666666667,35542.33333333333,24248.185185185186,37607.014814814815,37607.014814814815,22165.59259259259,31427.98888888888,30650.218518518515,22736.351851851847,32517.937037037038,33355.5,21760.211111111115,32517.937037037038,28113.70740740741,19365.277777777774
NP_005372.2,36893.8,59083.1,94069.6,33716.5,53315.7,86268.8,16381.7,25766.5,40061.5,34343.4,54384.6,85835.0,24298.8,38021.4,58544.2,26659.6,41372.4,67377.0,20238.2,32315.4,49247.7,20359.4,32819.2,48386.9,13922.7,22352.4,34669.6,35542.33333333333,44601.13703703704,80178.53333333334,35542.33333333333,44601.13703703704,80178.53333333334,31427.98888888888,37607.014814814815,50870.4,34595.76666666667,42465.04074074075,80178.53333333334,31427.98888888888,33355.5,50870.4,28751.551851851844,33355.5,50870.4,29596.79259259259,34595.76666666667,42465.04074074075,29596.79259259259,34595.76666666667,50870.4,26756.714814814815,32517.937037037038,42465.04074074075
NP_001353228.1,15603.0,21075.9,14243.2,15402.7,20408.9,14596.5,10756.6,13463.3,10115.0,16455.1,22306.3,15018.3,16676.4,21603.2,16284.8,17280.0,23171.3,16083.8,12536.8,16096.2,12311.2,13135.8,17517.2,12452.4,10164.3,12866.4,10585.9,15367.451851851847,16267.788888888888,11786.6,16501.866666666665,16906.51111111111,12691.822222222223,18848.314814814814,17657.90740740741,12691.822222222223,17305.181481481482,16906.51111111111,12691.822222222223,20582.581481481488,19687.366666666665,13594.8,18178.16296296296,17657.90740740741,13286.466666666667,16715.466666666664,16267.788888888888,12597.355555555558,17091.14814814815,17305.181481481482,13106.362962962963,16715.466666666664,17657.90740740741,12274.696296296293
