Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,-log10_pvalues1,s2_avg,p_value_s2,-log10_pvalues2,s3_avg,p_value_s3,-log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NP_037506.2,3726.944444444444,4153.492592592593,8638.14074074074,3966.7148148148153,4238.966666666667,9027.307407407408,6873.329629629629,5424.751851851853,12274.696296296292,3927.4703703703694,4333.892592592593,8984.17037037037,7540.4740740740735,5271.951851851853,11692.21111111111,7154.296296296296,4375.625925925926,9996.740740740745,6715.548148148147,5424.751851851853,12274.696296296292,7367.788888888891,5640.081481481482,12370.644444444442,9138.94074074074,6246.12962962963,14658.714814814814,5744.329629629629,0.9216249966935282,0.03544575464694356,5748.511111111111,0.9197110131886516,0.03634861297321653,8190.925925925924,0.3658434986823702,0.4367046583057537,1.043248947985837,0.06108346578570192,,1.0440083623018392,0.06213326765787179,,1.4875843494731855,0.5729714748854772,up-regulated
NP_005313.1,9526.155555555551,8446.27777777778,27558.16666666667,10792.688888888888,7801.118518518519,26756.71481481481,7801.118518518519,5952.922222222221,16906.51111111111,9715.225925925928,7694.411111111109,25936.725925925926,8546.207407407408,5738.666666666667,17657.90740740741,10582.070370370371,5424.751851851853,18848.31481481481,7367.788888888891,5725.418518518519,17305.181481481482,6936.99259259259,5156.37037037037,15047.896296296296,6988.133333333333,4513.670370370372,10582.070370370371,15116.840740740741,0.9947331936521948,0.002293389669154994,14448.787654320986,0.9356552188971488,0.0288841556586605,10220.183950617284,0.531909654221208,0.27416212711324606,0.9960449065512472,-0.00571730741496852,,0.9520270535192366,-0.07092552406056868,,0.6734053988274226,-0.5704528072972019,down-regulated
NP_001741.4,9446.362962962963,7241.944444444444,3426.0259259259246,8741.981481481482,6693.285185185186,3435.214814814816,7051.122222222221,4333.892592592593,2477.0629629629625,9138.94074074074,6902.855555555556,3369.1888888888884,6740.281481481483,4716.077777777777,2404.1666666666674,7619.992592592595,4617.733333333334,2871.929629629629,7694.411111111109,6081.322222222224,2904.7370370370368,8122.807407407409,5770.84074074074,2942.640740740741,7367.788888888891,5104.577777777777,2865.792592592593,6290.16049382716,0.8681590544136785,0.06140070094552663,6470.328395061729,0.9278403862570695,0.032526727800378887,4620.6925925925925,0.4015650772294298,0.39624406335814105,0.9381609208101096,-0.09209268841254337,,0.965032490190338,-0.051350579815022945,,0.689164167067155,-0.5370804039722862,down-regulated
NP_000810.1,6461.914814814815,1916.9370370370368,2399.211111111111,6740.281481481483,2072.459259259259,2441.7777777777783,10191.1,2684.759259259258,2808.4555555555544,7310.07037037037,2242.955555555556,2660.385185185185,10792.688888888888,3079.6703703703706,3092.3666666666663,10141.485185185184,3022.551851851852,3508.322222222222,8915.562962962962,2549.281481481481,2583.2851851851856,8869.937037037036,2684.759259259258,2961.5296296296297,9574.362962962963,2394.9666666666662,2477.0629629629625,3751.5061728395062,0.9427797257811159,0.025589765430764265,4071.137037037037,0.8365340046748849,0.0775164004965649,5228.104938271604,0.6062274286046268,0.21736441798134296,1.04420604678158,0.062406418171721295,,1.1331731084778855,0.18036827039559833,,1.4552071989847688,0.5412245852061708,up-regulated
NP_001028886.1,1531.325925925926,315.1592592592592,0.0,1378.6481481481478,324.4222222222222,0.0,1002.1777777777776,204.1703703703704,0.0,1424.737037037037,318.2037037037037,0.0,1044.4814814814818,233.94074074074072,0.0,1124.2888888888888,281.2296296296297,0.0,879.637037037037,232.3,0.0,939.1296296296294,281.95185185185187,0.0,635.9703703703706,188.4962962962963,0.0,567.69012345679,0.9427878222774222,0.025586035769981533,580.9802469135802,0.9593328992392108,0.018030661635467307,402.116049382716,0.7245739647177782,0.139917275024835,0.9223309149916457,-0.11664363949912954,,0.9439234902748164,-0.08325816821805863,,0.6533213252004308,-0.6141353630638315,down-regulated
NP_054733.2,4885.837037037036,5314.681481481482,2343.692592592592,5525.759259259259,5314.681481481482,2399.211111111111,7367.788888888891,7367.788888888891,3496.8629629629627,5458.003703703705,6081.322222222224,2689.603703703703,8273.57037037037,7889.837037037036,3806.359259259259,7068.866666666668,7068.866666666668,3385.485185185185,6439.148148148148,6759.333333333335,2942.640740740741,6615.1407407407405,6813.248148148146,3062.133333333333,7051.122222222221,6715.548148148147,3339.688888888888,4413.2172839506175,0.8739177133057564,0.05852945791438929,4742.976543209877,0.7081261365124313,0.1498893757677347,6077.480246913582,0.3048383928022794,0.5159303367676641,1.0554391770499423,0.07784344131247306,,1.1343024685726366,0.18180539488707795,,1.4534545520037727,0.5394859606218078,up-regulated
NP_004332.2,3218.3037037037043,2768.0407407407406,2031.6703703703704,3459.3592592592595,2961.5296296296297,2211.840740740741,5604.099999999999,4028.1259259259264,2531.325925925926,3726.944444444444,3130.4555555555557,2197.6666666666665,5821.337037037036,4422.592592592592,2689.603703703703,5296.407407407408,4144.048148148148,2747.481481481482,4617.733333333334,3541.592592592593,2146.448148148148,4895.937037037038,3990.577777777778,2343.692592592592,5258.570370370369,3779.514814814814,2096.633333333333,2877.5765432098765,0.7035783302849435,0.15268754497153855,3018.3555555555554,0.5747077686338529,0.24055293223464957,4054.5172839506176,0.25597409899133095,0.5918039770093438,1.0766667097794596,0.106571721967652,,1.1293402264530241,0.17548017970979773,,1.5170278594867854,0.6012475802285618,up-regulated
NP_002152.2,3893.040740740741,3418.6000000000004,578.3777777777777,4279.085185185185,3675.5962962962953,616.2555555555556,7175.188888888889,5232.37037037037,913.7370370370372,4279.085185185185,3902.0,611.6703703703703,7727.314814814816,6246.12962962963,997.9370370370372,5799.151851851852,4796.666666666667,610.3148148148148,6523.874074074073,5245.085185185185,920.3629629629628,7175.188888888889,5821.337037037036,876.9148148148148,7973.603703703706,5671.3,1046.5444444444445,2856.9790123456787,0.8896688380006366,0.050771620987744036,2930.9185185185183,0.8563911711794951,0.06732781864031703,4440.432098765432,0.45335840716696363,0.34355832621756954,1.0863012573316966,0.11942425248600802,,1.1144150720202035,0.15628667505984503,,1.688373261105804,0.7556338865193981,up-regulated
NP_001309294.1,5623.707407407408,2617.874074074074,3062.133333333333,6161.466666666667,2660.385185185185,3232.696296296297,8638.14074074074,3541.592592592593,4247.896296296297,6140.907407407409,2660.385185185185,3301.607407407407,8596.366666666665,3435.214814814816,4589.485185185186,6902.855555555556,2899.6333333333337,3588.462962962963,7424.548148148148,3116.003703703704,3911.425925925927,8596.366666666665,3521.2518518518523,4576.366666666667,11063.4,4978.333333333332,5725.418518518519,4018.182716049383,0.8699958361248746,0.060482825947263924,4034.3000000000006,0.8606332009223876,0.06518190401309529,5475.876543209877,0.4192652827666064,0.3775110978328219,1.066423591326745,0.09278060106244167,,1.0707011100578867,0.09855580294705626,,1.4532947706801076,0.5393273533957139,up-regulated
NP_001072993.1,2789.637037037037,5687.492592592591,9363.34814814815,2871.929629629629,6341.822222222221,10402.129629629628,4375.625925925926,8984.17037037037,13594.8,2860.7333333333336,5121.718518518517,8384.655555555555,4206.3814814814805,9773.148148148148,14134.866666666669,3865.707407407407,9715.225925925928,14791.448148148149,3572.266666666666,6813.248148148146,8816.970370370369,3142.896296296296,6587.044444444444,9363.34814814815,3806.359259259259,7619.992592592595,10402.129629629628,6538.627160493826,0.8479230383625617,0.0716435646433749,5455.702469135802,0.8533862735910138,0.06885434688990277,8984.865432098764,0.41069910392541414,0.3864762447009435,1.099515479675951,0.13686791551122854,,0.9174141865076275,-0.1243548780648769,,1.5108674012010557,0.5953770502949536,up-regulated
